/usr/local/lib/python3.10/dist-packages/torch/cuda/__init__.py:61: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  import pynvml  # type: ignore[import]
Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 9, 'n_head': 5, 'n_kv_head': 5, 'n_embd': 640, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 5,242,880
  value_embeds            : 26,214,400
  lm_head                 : 5,242,880
  transformer_matrices    : 66,356,800
  scalars                 : 18
  total                   : 103,056,978
Estimated FLOPs per token: 4.826822e+08
Scaling AdamW LRs by 1/sqrt(640/768) = 1.095445
/usr/local/lib/python3.10/dist-packages/torch/cuda/__init__.py:61: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  import pynvml  # type: ignore[import]
Time budget: 300s
Gradient accumulation steps: 1
step 00000 (0.0%) | loss: 9.011199 | lrm: 0.00 | dt: 36298ms | tok/sec: 5,416 | mfu: 0.3% | epoch: 1 | remaining: 300s    
step 00422 (18.9%) | loss: 3.189610 | lrm: 0.87 | dt: 133ms | tok/sec: 1,475,886 | mfu: 72.0% | epoch: 1 | remaining: 243s    
step 00423 (18.9%) | loss: 3.188124 | lrm: 0.87 | dt: 134ms | tok/sec: 1,465,890 | mfu: 71.5% | epoch: 1 | remaining: 243s    
step 00424 (19.0%) | loss: 3.187133 | lrm: 0.87 | dt: 138ms | tok/sec: 1,428,318 | mfu: 69.7% | epoch: 1 | remaining: 243s    
step 00425 (19.0%) | loss: 3.187894 | lrm: 0.87 | dt: 136ms | tok/sec: 1,450,466 | mfu: 70.8% | epoch: 1 | remaining: 243s    
step 00426 (19.1%) | loss: 3.187223 | lrm: 0.87 | dt: 136ms | tok/sec: 1,447,835 | mfu: 70.6% | epoch: 1 | remaining: 243s    
step 00427 (19.1%) | loss: 3.180903 | lrm: 0.87 | dt: 134ms | tok/sec: 1,467,881 | mfu: 71.6% | epoch: 1 | remaining: 242s    
step 00428 (19.2%) | loss: 3.178026 | lrm: 0.87 | dt: 137ms | tok/sec: 1,431,047 | mfu: 69.8% | epoch: 1 | remaining: 242s    
step 00429 (19.2%) | loss: 3.176844 | lrm: 0.87 | dt: 136ms | tok/sec: 1,443,676 | mfu: 70.4% | epoch: 1 | remaining: 242s    
step 00430 (19.3%) | loss: 3.180413 | lrm: 0.87 | dt: 139ms | tok/sec: 1,412,704 | mfu: 68.9% | epoch: 1 | remaining: 242s    
step 00431 (19.3%) | loss: 3.177008 | lrm: 0.87 | dt: 136ms | tok/sec: 1,450,032 | mfu: 70.7% | epoch: 1 | remaining: 242s    
step 00432 (19.4%) | loss: 3.176712 | lrm: 0.87 | dt: 135ms | tok/sec: 1,453,076 | mfu: 70.9% | epoch: 1 | remaining: 242s    
step 00433 (19.4%) | loss: 3.174682 | lrm: 0.87 | dt: 135ms | tok/sec: 1,456,702 | mfu: 71.1% | epoch: 1 | remaining: 242s    
step 00434 (19.4%) | loss: 3.177053 | lrm: 0.87 | dt: 136ms | tok/sec: 1,445,980 | mfu: 70.5% | epoch: 1 | remaining: 242s    
step 00435 (19.5%) | loss: 3.180584 | lrm: 0.87 | dt: 141ms | tok/sec: 1,398,250 | mfu: 68.2% | epoch: 1 | remaining: 241s    
step 00436 (19.5%) | loss: 3.181221 | lrm: 0.87 | dt: 136ms | tok/sec: 1,449,151 | mfu: 70.7% | epoch: 1 | remaining: 241s    
step 00437 (19.6%) | loss: 3.171959 | lrm: 0.87 | dt: 135ms | tok/sec: 1,456,440 | mfu: 71.0% | epoch: 1 | remaining: 241s    
step 00438 (19.6%) | loss: 3.169053 | lrm: 0.87 | dt: 134ms | tok/sec: 1,464,768 | mfu: 71.5% | epoch: 1 | remaining: 241s    
step 00439 (19.7%) | loss: 3.173557 | lrm: 0.87 | dt: 136ms | tok/sec: 1,445,893 | mfu: 70.5% | epoch: 1 | remaining: 241s    
step 00440 (19.7%) | loss: 3.176567 | lrm: 0.87 | dt: 138ms | tok/sec: 1,425,079 | mfu: 69.5% | epoch: 1 | remaining: 241s    
step 00441 (19.8%) | loss: 3.175105 | lrm: 0.87 | dt: 137ms | tok/sec: 1,431,079 | mfu: 69.8% | epoch: 1 | remaining: 241s    
step 00442 (19.8%) | loss: 3.176421 | lrm: 0.87 | dt: 137ms | tok/sec: 1,440,320 | mfu: 70.3% | epoch: 1 | remaining: 240s    
step 00443 (19.9%) | loss: 3.172640 | lrm: 0.86 | dt: 137ms | tok/sec: 1,437,503 | mfu: 70.1% | epoch: 1 | remaining: 240s    
step 00444 (19.9%) | loss: 3.168796 | lrm: 0.86 | dt: 133ms | tok/sec: 1,474,400 | mfu: 71.9% | epoch: 1 | remaining: 240s    
step 00445 (19.9%) | loss: 3.171047 | lrm: 0.86 | dt: 135ms | tok/sec: 1,458,323 | mfu: 71.1% | epoch: 1 | remaining: 240s    
step 00446 (20.0%) | loss: 3.171177 | lrm: 0.86 | dt: 138ms | tok/sec: 1,427,030 | mfu: 69.6% | epoch: 1 | remaining: 240s    
step 00447 (20.0%) | loss: 3.170325 | lrm: 0.86 | dt: 135ms | tok/sec: 1,454,270 | mfu: 70.9% | epoch: 1 | remaining: 240s    
step 00448 (20.1%) | loss: 3.169584 | lrm: 0.86 | dt: 135ms | tok/sec: 1,460,901 | mfu: 71.3% | epoch: 1 | remaining: 240s    
step 00449 (20.1%) | loss: 3.170907 | lrm: 0.86 | dt: 135ms | tok/sec: 1,451,625 | mfu: 70.8% | epoch: 1 | remaining: 240s    
step 00450 (20.2%) | loss: 3.168435 | lrm: 0.86 | dt: 138ms | tok/sec: 1,424,941 | mfu: 69.5% | epoch: 1 | remaining: 239s    
step 00451 (20.2%) | loss: 3.169905 | lrm: 0.86 | dt: 136ms | tok/sec: 1,442,979 | mfu: 70.4% | epoch: 1 | remaining: 239s    
step 00452 (20.3%) | loss: 3.177676 | lrm: 0.86 | dt: 134ms | tok/sec: 1,462,067 | mfu: 71.3% | epoch: 1 | remaining: 239s    
step 00453 (20.3%) | loss: 3.175247 | lrm: 0.86 | dt: 136ms | tok/sec: 1,450,007 | mfu: 70.7% | epoch: 1 | remaining: 239s    
step 00454 (20.3%) | loss: 3.173715 | lrm: 0.86 | dt: 136ms | tok/sec: 1,441,377 | mfu: 70.3% | epoch: 1 | remaining: 239s    
step 00455 (20.4%) | loss: 3.176136 | lrm: 0.86 | dt: 138ms | tok/sec: 1,425,917 | mfu: 69.6% | epoch: 1 | remaining: 239s    
step 00456 (20.4%) | loss: 3.172838 | lrm: 0.86 | dt: 139ms | tok/sec: 1,419,403 | mfu: 69.2% | epoch: 1 | remaining: 239s    
step 00457 (20.5%) | loss: 3.168358 | lrm: 0.86 | dt: 136ms | tok/sec: 1,441,427 | mfu: 70.3% | epoch: 1 | remaining: 238s    
step 00458 (20.5%) | loss: 3.165206 | lrm: 0.86 | dt: 135ms | tok/sec: 1,453,967 | mfu: 70.9% | epoch: 1 | remaining: 238s    
step 00459 (20.6%) | loss: 3.163123 | lrm: 0.86 | dt: 134ms | tok/sec: 1,469,534 | mfu: 71.7% | epoch: 1 | remaining: 238s    
step 00460 (20.6%) | loss: 3.164977 | lrm: 0.86 | dt: 137ms | tok/sec: 1,432,033 | mfu: 69.9% | epoch: 1 | remaining: 238s    
step 00461 (20.7%) | loss: 3.167736 | lrm: 0.86 | dt: 139ms | tok/sec: 1,411,454 | mfu: 68.9% | epoch: 1 | remaining: 238s    
step 00462 (20.7%) | loss: 3.167077 | lrm: 0.86 | dt: 136ms | tok/sec: 1,448,199 | mfu: 70.6% | epoch: 1 | remaining: 238s    
step 00463 (20.8%) | loss: 3.167055 | lrm: 0.86 | dt: 135ms | tok/sec: 1,452,796 | mfu: 70.9% | epoch: 1 | remaining: 238s    
step 00464 (20.8%) | loss: 3.163353 | lrm: 0.85 | dt: 137ms | tok/sec: 1,434,522 | mfu: 70.0% | epoch: 1 | remaining: 237s    
step 00465 (20.8%) | loss: 3.161252 | lrm: 0.85 | dt: 135ms | tok/sec: 1,458,470 | mfu: 71.1% | epoch: 1 | remaining: 237s    
step 00466 (20.9%) | loss: 3.163750 | lrm: 0.85 | dt: 137ms | tok/sec: 1,434,380 | mfu: 70.0% | epoch: 1 | remaining: 237s    
step 00467 (20.9%) | loss: 3.162275 | lrm: 0.85 | dt: 137ms | tok/sec: 1,430,059 | mfu: 69.8% | epoch: 1 | remaining: 237s    
step 00468 (21.0%) | loss: 3.158432 | lrm: 0.85 | dt: 137ms | tok/sec: 1,439,533 | mfu: 70.2% | epoch: 1 | remaining: 237s    
step 00469 (21.0%) | loss: 3.153724 | lrm: 0.85 | dt: 135ms | tok/sec: 1,457,174 | mfu: 71.1% | epoch: 1 | remaining: 237s    
step 00470 (21.1%) | loss: 3.154087 | lrm: 0.85 | dt: 138ms | tok/sec: 1,426,711 | mfu: 69.6% | epoch: 1 | remaining: 237s    
step 00471 (21.1%) | loss: 3.159815 | lrm: 0.85 | dt: 134ms | tok/sec: 1,467,327 | mfu: 71.6% | epoch: 1 | remaining: 237s    
step 00472 (21.2%) | loss: 3.160193 | lrm: 0.85 | dt: 138ms | tok/sec: 1,419,853 | mfu: 69.3% | epoch: 1 | remaining: 236s    
step 00473 (21.2%) | loss: 3.155383 | lrm: 0.85 | dt: 136ms | tok/sec: 1,440,604 | mfu: 70.3% | epoch: 1 | remaining: 236s    
step 00474 (21.3%) | loss: 3.151524 | lrm: 0.85 | dt: 136ms | tok/sec: 1,449,604 | mfu: 70.7% | epoch: 1 | remaining: 236s    
step 00475 (21.3%) | loss: 3.148235 | lrm: 0.85 | dt: 135ms | tok/sec: 1,453,252 | mfu: 70.9% | epoch: 1 | remaining: 236s    
step 00476 (21.3%) | loss: 3.146100 | lrm: 0.85 | dt: 137ms | tok/sec: 1,437,307 | mfu: 70.1% | epoch: 1 | remaining: 236s    
step 00477 (21.4%) | loss: 3.151449 | lrm: 0.85 | dt: 135ms | tok/sec: 1,451,503 | mfu: 70.8% | epoch: 1 | remaining: 236s    
step 00478 (21.4%) | loss: 3.151039 | lrm: 0.85 | dt: 138ms | tok/sec: 1,423,131 | mfu: 69.4% | epoch: 1 | remaining: 236s    
step 00479 (21.5%) | loss: 3.149221 | lrm: 0.85 | dt: 137ms | tok/sec: 1,435,683 | mfu: 70.0% | epoch: 1 | remaining: 235s    
step 00480 (21.5%) | loss: 3.146328 | lrm: 0.85 | dt: 136ms | tok/sec: 1,450,640 | mfu: 70.8% | epoch: 1 | remaining: 235s    
step 00481 (21.6%) | loss: 3.141583 | lrm: 0.85 | dt: 138ms | tok/sec: 1,422,677 | mfu: 69.4% | epoch: 1 | remaining: 235s    
step 00482 (21.6%) | loss: 3.135315 | lrm: 0.85 | dt: 134ms | tok/sec: 1,470,297 | mfu: 71.7% | epoch: 1 | remaining: 235s    
step 00483 (21.7%) | loss: 3.139042 | lrm: 0.85 | dt: 134ms | tok/sec: 1,461,906 | mfu: 71.3% | epoch: 1 | remaining: 235s    
step 00484 (21.7%) | loss: 3.135567 | lrm: 0.84 | dt: 137ms | tok/sec: 1,431,936 | mfu: 69.9% | epoch: 1 | remaining: 235s    
step 00485 (21.8%) | loss: 3.133437 | lrm: 0.84 | dt: 135ms | tok/sec: 1,452,423 | mfu: 70.8% | epoch: 1 | remaining: 235s    
step 00486 (21.8%) | loss: 3.131988 | lrm: 0.84 | dt: 137ms | tok/sec: 1,436,739 | mfu: 70.1% | epoch: 1 | remaining: 234s    
step 00487 (21.8%) | loss: 3.135113 | lrm: 0.84 | dt: 134ms | tok/sec: 1,468,600 | mfu: 71.6% | epoch: 1 | remaining: 234s    
step 00488 (21.9%) | loss: 3.130195 | lrm: 0.84 | dt: 137ms | tok/sec: 1,435,084 | mfu: 70.0% | epoch: 1 | remaining: 234s    
step 00489 (21.9%) | loss: 3.130732 | lrm: 0.84 | dt: 137ms | tok/sec: 1,431,404 | mfu: 69.8% | epoch: 1 | remaining: 234s    
step 00490 (22.0%) | loss: 3.128444 | lrm: 0.84 | dt: 136ms | tok/sec: 1,446,051 | mfu: 70.5% | epoch: 1 | remaining: 234s    
step 00491 (22.0%) | loss: 3.121422 | lrm: 0.84 | dt: 135ms | tok/sec: 1,451,699 | mfu: 70.8% | epoch: 1 | remaining: 234s    
step 00492 (22.1%) | loss: 3.113456 | lrm: 0.84 | dt: 137ms | tok/sec: 1,440,305 | mfu: 70.3% | epoch: 1 | remaining: 234s    
step 00493 (22.1%) | loss: 3.112675 | lrm: 0.84 | dt: 138ms | tok/sec: 1,421,311 | mfu: 69.3% | epoch: 1 | remaining: 234s    
step 00494 (22.2%) | loss: 3.117418 | lrm: 0.84 | dt: 135ms | tok/sec: 1,460,868 | mfu: 71.3% | epoch: 1 | remaining: 233s    
step 00495 (22.2%) | loss: 3.123248 | lrm: 0.84 | dt: 136ms | tok/sec: 1,441,239 | mfu: 70.3% | epoch: 1 | remaining: 233s    
step 00496 (22.3%) | loss: 3.121184 | lrm: 0.84 | dt: 135ms | tok/sec: 1,460,624 | mfu: 71.2% | epoch: 1 | remaining: 233s    
step 00497 (22.3%) | loss: 3.120065 | lrm: 0.84 | dt: 134ms | tok/sec: 1,465,265 | mfu: 71.5% | epoch: 1 | remaining: 233s    
step 00498 (22.3%) | loss: 3.119650 | lrm: 0.84 | dt: 137ms | tok/sec: 1,434,402 | mfu: 70.0% | epoch: 1 | remaining: 233s    
step 00499 (22.4%) | loss: 3.116540 | lrm: 0.84 | dt: 137ms | tok/sec: 1,436,488 | mfu: 70.1% | epoch: 1 | remaining: 233s    
step 00500 (22.4%) | loss: 3.117181 | lrm: 0.84 | dt: 136ms | tok/sec: 1,446,532 | mfu: 70.6% | epoch: 1 | remaining: 233s    
step 00501 (22.5%) | loss: 3.114874 | lrm: 0.84 | dt: 137ms | tok/sec: 1,440,116 | mfu: 70.2% | epoch: 1 | remaining: 232s    
step 00502 (22.5%) | loss: 3.112133 | lrm: 0.84 | dt: 134ms | tok/sec: 1,470,430 | mfu: 71.7% | epoch: 1 | remaining: 232s    
step 00503 (22.6%) | loss: 3.106810 | lrm: 0.84 | dt: 139ms | tok/sec: 1,415,772 | mfu: 69.1% | epoch: 1 | remaining: 232s    
step 00504 (22.6%) | loss: 3.109000 | lrm: 0.84 | dt: 137ms | tok/sec: 1,432,513 | mfu: 69.9% | epoch: 1 | remaining: 232s    
step 00505 (22.7%) | loss: 3.113134 | lrm: 0.83 | dt: 135ms | tok/sec: 1,451,970 | mfu: 70.8% | epoch: 1 | remaining: 232s    
step 00506 (22.7%) | loss: 3.120070 | lrm: 0.83 | dt: 135ms | tok/sec: 1,459,588 | mfu: 71.2% | epoch: 1 | remaining: 232s    
step 00507 (22.8%) | loss: 3.118684 | lrm: 0.83 | dt: 134ms | tok/sec: 1,471,703 | mfu: 71.8% | epoch: 1 | remaining: 232s    
step 00508 (22.8%) | loss: 3.123676 | lrm: 0.83 | dt: 135ms | tok/sec: 1,451,929 | mfu: 70.8% | epoch: 1 | remaining: 231s    
step 00509 (22.8%) | loss: 3.123141 | lrm: 0.83 | dt: 137ms | tok/sec: 1,430,101 | mfu: 69.8% | epoch: 1 | remaining: 231s    
step 00510 (22.9%) | loss: 3.126280 | lrm: 0.83 | dt: 136ms | tok/sec: 1,442,431 | mfu: 70.4% | epoch: 1 | remaining: 231s    
step 00511 (22.9%) | loss: 3.123364 | lrm: 0.83 | dt: 138ms | tok/sec: 1,429,127 | mfu: 69.7% | epoch: 1 | remaining: 231s    
step 00512 (23.0%) | loss: 3.125813 | lrm: 0.83 | dt: 134ms | tok/sec: 1,466,474 | mfu: 71.5% | epoch: 1 | remaining: 231s    
step 00513 (23.0%) | loss: 3.123850 | lrm: 0.83 | dt: 138ms | tok/sec: 1,422,957 | mfu: 69.4% | epoch: 1 | remaining: 231s    
step 00514 (23.1%) | loss: 3.121247 | lrm: 0.83 | dt: 138ms | tok/sec: 1,427,292 | mfu: 69.6% | epoch: 1 | remaining: 231s    
step 00515 (23.1%) | loss: 3.118023 | lrm: 0.83 | dt: 136ms | tok/sec: 1,446,568 | mfu: 70.6% | epoch: 1 | remaining: 231s    
step 00516 (23.2%) | loss: 3.117796 | lrm: 0.83 | dt: 135ms | tok/sec: 1,460,844 | mfu: 71.3% | epoch: 1 | remaining: 230s    
step 00517 (23.2%) | loss: 3.115983 | lrm: 0.83 | dt: 136ms | tok/sec: 1,450,721 | mfu: 70.8% | epoch: 1 | remaining: 230s    
step 00518 (23.3%) | loss: 3.112958 | lrm: 0.83 | dt: 136ms | tok/sec: 1,448,784 | mfu: 70.7% | epoch: 1 | remaining: 230s    
step 00519 (23.3%) | loss: 3.107419 | lrm: 0.83 | dt: 138ms | tok/sec: 1,423,650 | mfu: 69.4% | epoch: 1 | remaining: 230s    
step 00520 (23.3%) | loss: 3.111349 | lrm: 0.83 | dt: 135ms | tok/sec: 1,452,579 | mfu: 70.9% | epoch: 1 | remaining: 230s    
step 00521 (23.4%) | loss: 3.108856 | lrm: 0.83 | dt: 136ms | tok/sec: 1,450,213 | mfu: 70.7% | epoch: 1 | remaining: 230s    
step 00522 (23.4%) | loss: 3.111232 | lrm: 0.83 | dt: 135ms | tok/sec: 1,454,106 | mfu: 70.9% | epoch: 1 | remaining: 230s    
step 00523 (23.5%) | loss: 3.111162 | lrm: 0.83 | dt: 136ms | tok/sec: 1,445,876 | mfu: 70.5% | epoch: 1 | remaining: 229s    
step 00524 (23.5%) | loss: 3.117496 | lrm: 0.83 | dt: 137ms | tok/sec: 1,431,608 | mfu: 69.8% | epoch: 1 | remaining: 229s    
step 00525 (23.6%) | loss: 3.112314 | lrm: 0.83 | dt: 136ms | tok/sec: 1,446,578 | mfu: 70.6% | epoch: 1 | remaining: 229s    
step 00526 (23.6%) | loss: 3.113036 | lrm: 0.82 | dt: 134ms | tok/sec: 1,463,751 | mfu: 71.4% | epoch: 1 | remaining: 229s    
step 00527 (23.7%) | loss: 3.112680 | lrm: 0.82 | dt: 135ms | tok/sec: 1,458,245 | mfu: 71.1% | epoch: 1 | remaining: 229s    
step 00528 (23.7%) | loss: 3.116808 | lrm: 0.82 | dt: 136ms | tok/sec: 1,445,361 | mfu: 70.5% | epoch: 1 | remaining: 229s    
step 00529 (23.8%) | loss: 3.115593 | lrm: 0.82 | dt: 136ms | tok/sec: 1,440,707 | mfu: 70.3% | epoch: 1 | remaining: 229s    
step 00530 (23.8%) | loss: 3.103475 | lrm: 0.82 | dt: 137ms | tok/sec: 1,439,460 | mfu: 70.2% | epoch: 1 | remaining: 228s    
step 00531 (23.8%) | loss: 3.100534 | lrm: 0.82 | dt: 137ms | tok/sec: 1,436,947 | mfu: 70.1% | epoch: 1 | remaining: 228s    
step 00532 (23.9%) | loss: 3.099471 | lrm: 0.82 | dt: 135ms | tok/sec: 1,451,030 | mfu: 70.8% | epoch: 1 | remaining: 228s    
step 00533 (23.9%) | loss: 3.098924 | lrm: 0.82 | dt: 135ms | tok/sec: 1,460,417 | mfu: 71.2% | epoch: 1 | remaining: 228s    
step 00534 (24.0%) | loss: 3.097860 | lrm: 0.82 | dt: 139ms | tok/sec: 1,413,884 | mfu: 69.0% | epoch: 1 | remaining: 228s    
step 00535 (24.0%) | loss: 3.096639 | lrm: 0.82 | dt: 139ms | tok/sec: 1,414,102 | mfu: 69.0% | epoch: 1 | remaining: 228s    
step 00536 (24.1%) | loss: 3.096894 | lrm: 0.82 | dt: 135ms | tok/sec: 1,456,551 | mfu: 71.1% | epoch: 1 | remaining: 228s    
step 00537 (24.1%) | loss: 3.098783 | lrm: 0.82 | dt: 134ms | tok/sec: 1,463,990 | mfu: 71.4% | epoch: 1 | remaining: 228s    
step 00538 (24.2%) | loss: 3.102521 | lrm: 0.82 | dt: 135ms | tok/sec: 1,461,082 | mfu: 71.3% | epoch: 1 | remaining: 227s    
step 00539 (24.2%) | loss: 3.100288 | lrm: 0.82 | dt: 137ms | tok/sec: 1,431,369 | mfu: 69.8% | epoch: 1 | remaining: 227s    
step 00540 (24.3%) | loss: 3.101683 | lrm: 0.82 | dt: 138ms | tok/sec: 1,427,524 | mfu: 69.6% | epoch: 1 | remaining: 227s    
step 00541 (24.3%) | loss: 3.101563 | lrm: 0.82 | dt: 137ms | tok/sec: 1,439,864 | mfu: 70.2% | epoch: 1 | remaining: 227s    
step 00542 (24.3%) | loss: 3.096379 | lrm: 0.82 | dt: 138ms | tok/sec: 1,429,635 | mfu: 69.7% | epoch: 1 | remaining: 227s    
step 00543 (24.4%) | loss: 3.099283 | lrm: 0.82 | dt: 137ms | tok/sec: 1,439,927 | mfu: 70.2% | epoch: 1 | remaining: 227s    
step 00544 (24.4%) | loss: 3.101800 | lrm: 0.82 | dt: 135ms | tok/sec: 1,460,454 | mfu: 71.2% | epoch: 1 | remaining: 227s    
step 00545 (24.5%) | loss: 3.092365 | lrm: 0.82 | dt: 139ms | tok/sec: 1,412,895 | mfu: 68.9% | epoch: 1 | remaining: 226s    
step 00546 (24.5%) | loss: 3.096762 | lrm: 0.82 | dt: 138ms | tok/sec: 1,421,471 | mfu: 69.3% | epoch: 1 | remaining: 226s    
step 00547 (24.6%) | loss: 3.093711 | lrm: 0.81 | dt: 138ms | tok/sec: 1,429,246 | mfu: 69.7% | epoch: 1 | remaining: 226s    
step 00548 (24.6%) | loss: 3.086551 | lrm: 0.81 | dt: 136ms | tok/sec: 1,449,798 | mfu: 70.7% | epoch: 1 | remaining: 226s    
step 00549 (24.7%) | loss: 3.082397 | lrm: 0.81 | dt: 133ms | tok/sec: 1,477,343 | mfu: 72.1% | epoch: 1 | remaining: 226s    
step 00550 (24.7%) | loss: 3.082578 | lrm: 0.81 | dt: 134ms | tok/sec: 1,466,083 | mfu: 71.5% | epoch: 1 | remaining: 226s    
step 00551 (24.8%) | loss: 3.085036 | lrm: 0.81 | dt: 138ms | tok/sec: 1,422,383 | mfu: 69.4% | epoch: 1 | remaining: 226s    
step 00552 (24.8%) | loss: 3.085379 | lrm: 0.81 | dt: 138ms | tok/sec: 1,424,813 | mfu: 69.5% | epoch: 1 | remaining: 225s    
step 00553 (24.8%) | loss: 3.084712 | lrm: 0.81 | dt: 136ms | tok/sec: 1,445,675 | mfu: 70.5% | epoch: 1 | remaining: 225s    
step 00554 (24.9%) | loss: 3.081923 | lrm: 0.81 | dt: 135ms | tok/sec: 1,460,749 | mfu: 71.3% | epoch: 1 | remaining: 225s    
step 00555 (24.9%) | loss: 3.083032 | lrm: 0.81 | dt: 136ms | tok/sec: 1,445,227 | mfu: 70.5% | epoch: 1 | remaining: 225s    
step 00556 (25.0%) | loss: 3.085752 | lrm: 0.81 | dt: 137ms | tok/sec: 1,437,686 | mfu: 70.1% | epoch: 1 | remaining: 225s    
step 00557 (25.0%) | loss: 3.083656 | lrm: 0.81 | dt: 138ms | tok/sec: 1,429,132 | mfu: 69.7% | epoch: 1 | remaining: 225s    
step 00558 (25.1%) | loss: 3.086412 | lrm: 0.81 | dt: 138ms | tok/sec: 1,424,629 | mfu: 69.5% | epoch: 1 | remaining: 225s    
step 00559 (25.1%) | loss: 3.082031 | lrm: 0.81 | dt: 137ms | tok/sec: 1,437,984 | mfu: 70.1% | epoch: 1 | remaining: 225s    
step 00560 (25.2%) | loss: 3.085468 | lrm: 0.81 | dt: 135ms | tok/sec: 1,455,432 | mfu: 71.0% | epoch: 1 | remaining: 224s    
step 00561 (25.2%) | loss: 3.083587 | lrm: 0.81 | dt: 136ms | tok/sec: 1,446,294 | mfu: 70.6% | epoch: 1 | remaining: 224s    
step 00562 (25.3%) | loss: 3.077917 | lrm: 0.81 | dt: 137ms | tok/sec: 1,429,925 | mfu: 69.8% | epoch: 1 | remaining: 224s    
step 00563 (25.3%) | loss: 3.076062 | lrm: 0.81 | dt: 139ms | tok/sec: 1,411,222 | mfu: 68.8% | epoch: 1 | remaining: 224s    
step 00564 (25.3%) | loss: 3.083510 | lrm: 0.81 | dt: 137ms | tok/sec: 1,438,561 | mfu: 70.2% | epoch: 1 | remaining: 224s    
step 00565 (25.4%) | loss: 3.087393 | lrm: 0.81 | dt: 136ms | tok/sec: 1,441,395 | mfu: 70.3% | epoch: 1 | remaining: 224s    
step 00566 (25.4%) | loss: 3.085931 | lrm: 0.81 | dt: 133ms | tok/sec: 1,476,552 | mfu: 72.0% | epoch: 1 | remaining: 224s    
step 00567 (25.5%) | loss: 3.081434 | lrm: 0.81 | dt: 139ms | tok/sec: 1,412,624 | mfu: 68.9% | epoch: 1 | remaining: 223s    
step 00568 (25.5%) | loss: 3.081682 | lrm: 0.80 | dt: 135ms | tok/sec: 1,453,519 | mfu: 70.9% | epoch: 1 | remaining: 223s    
step 00569 (25.6%) | loss: 3.079536 | lrm: 0.80 | dt: 138ms | tok/sec: 1,423,431 | mfu: 69.4% | epoch: 1 | remaining: 223s    
step 00570 (25.6%) | loss: 3.075023 | lrm: 0.80 | dt: 138ms | tok/sec: 1,428,417 | mfu: 69.7% | epoch: 1 | remaining: 223s    
step 00571 (25.7%) | loss: 3.070755 | lrm: 0.80 | dt: 135ms | tok/sec: 1,451,367 | mfu: 70.8% | epoch: 1 | remaining: 223s    
step 00572 (25.7%) | loss: 3.069067 | lrm: 0.80 | dt: 137ms | tok/sec: 1,438,348 | mfu: 70.2% | epoch: 1 | remaining: 223s    
step 00573 (25.8%) | loss: 3.069516 | lrm: 0.80 | dt: 136ms | tok/sec: 1,444,136 | mfu: 70.4% | epoch: 1 | remaining: 223s    
step 00574 (25.8%) | loss: 3.072355 | lrm: 0.80 | dt: 133ms | tok/sec: 1,480,464 | mfu: 72.2% | epoch: 1 | remaining: 222s    
step 00575 (25.8%) | loss: 3.070269 | lrm: 0.80 | dt: 138ms | tok/sec: 1,427,499 | mfu: 69.6% | epoch: 1 | remaining: 222s    
step 00576 (25.9%) | loss: 3.069674 | lrm: 0.80 | dt: 137ms | tok/sec: 1,436,093 | mfu: 70.1% | epoch: 1 | remaining: 222s    
step 00577 (25.9%) | loss: 3.067347 | lrm: 0.80 | dt: 135ms | tok/sec: 1,452,144 | mfu: 70.8% | epoch: 1 | remaining: 222s    
step 00578 (26.0%) | loss: 3.070556 | lrm: 0.80 | dt: 136ms | tok/sec: 1,445,936 | mfu: 70.5% | epoch: 1 | remaining: 222s    
step 00579 (26.0%) | loss: 3.073306 | lrm: 0.80 | dt: 135ms | tok/sec: 1,454,793 | mfu: 71.0% | epoch: 1 | remaining: 222s    
step 00580 (26.1%) | loss: 3.073845 | lrm: 0.80 | dt: 137ms | tok/sec: 1,430,987 | mfu: 69.8% | epoch: 1 | remaining: 222s    
step 00581 (26.1%) | loss: 3.078831 | lrm: 0.80 | dt: 137ms | tok/sec: 1,436,816 | mfu: 70.1% | epoch: 1 | remaining: 222s    
step 00582 (26.2%) | loss: 3.074175 | lrm: 0.80 | dt: 134ms | tok/sec: 1,469,191 | mfu: 71.7% | epoch: 1 | remaining: 221s    
step 00583 (26.2%) | loss: 3.073387 | lrm: 0.80 | dt: 135ms | tok/sec: 1,458,604 | mfu: 71.2% | epoch: 1 | remaining: 221s    
step 00584 (26.3%) | loss: 3.078271 | lrm: 0.80 | dt: 137ms | tok/sec: 1,440,126 | mfu: 70.2% | epoch: 1 | remaining: 221s    
step 00585 (26.3%) | loss: 3.073581 | lrm: 0.80 | dt: 138ms | tok/sec: 1,425,062 | mfu: 69.5% | epoch: 1 | remaining: 221s    
step 00586 (26.3%) | loss: 3.074800 | lrm: 0.80 | dt: 138ms | tok/sec: 1,429,848 | mfu: 69.7% | epoch: 1 | remaining: 221s    
